Question,Answer
"[참여대학원생 참여자격 문의] 해외 연수기간이 27년1월부터 27년6월까지인 경우, 26.11월 부터 참여대학원생 등록 후 경비지원을 받아 27년1월부터 장기연수 프로그램에 참가를 하는 것이 가능한지 문의 드립니다. (1월부터 장학금은 지급받지 않음)","안녕하십니까

BK21사업팀입니다.

BK21교육연구단(팀) 참여대학원생이며,

교육연구단(팀)의 자체규정에 따라 국제화경비 지원 대상으로 선발되어야 합니다.

감사합니다."
"[장기연수 MOU 관련] 장기연수 MOU 관련 - 안녕하세요 미래인재양성사업단입니다. 해외 대학의 연구교류로 인한 장기해외연수일 경우 지원 기준에서 MOU, 공식 초청장 또는 초청 이메일 내용을 첨부하면 되는 것으로 알고 있습니다. 그중 체결기관과의 MOU 체결 시점이 현재 4단계가 아닌 1~3단계에 진행했던 MOU 경우도 상관없는지 문의드립니다. 감사합니다.",안녕하십니까 BK21사업팀입니다. MOU 기간을 확인하여 주시기 바랍니다. 감사합니다.
학회등록비 지원 관련 문의 - 안녕하세요? 올해 3월부터 참여를 시작하는 학생이 4월에 개최되는 학회 참석을 위하여 2월에 학회등록비를 개인카드로 결제한 경우 해당 학생에게 학회등록비 지급이 가능할까요? (2월에는 참여대학원생이 아니었습니다.),"안녕하십니까 BK21사업팀입니다. 사업비는 당해년도 집행이 원칙입니다. 또한, 연구비카드를 통한 집행이 원칙이며 불가피한 사유로 연구비카드를 사용하지 못한 경우에 한하여 사유서 구비하여 계좌이체 지원이 가능합니다. 감사합니다."
"참여대학원생 종합정보관리시스템 등록(현행화) 관련 문의 - 안녕하세요? 참여대학원생 종합정보관리시스템 등록(현행화)과 관련하여 문의드립니다. 석박통합과정 참여대학원생일 경우, 학위과정을 '석박통합과정'으로 선택하고 오른쪽의 석·박사통합란까지 체크하면 되는 것인지요? 감사합니다.",안녕하세요. BK21사업팀입니다. 맞습니다. 체크까지 해주시면 됩니다.
"[미래인재양성사업] 2차 중간평가 문의 - 안녕하세요. 2차 중간평가 관련하여 문의드립니다. 지난 2월에 공지사항에 올려주신 내용에 따르면, 3월중 보고서 초안을 공개하고 6-7월중에 보고서 접수한다고 되어있는데 아직 공지가 안되어서요. 공지가 늦어지면 보고서 접수도 충분한 시간을 주시나요? 아니면 계획대로 6-7월까지 접수인지.. 대략적인 일정이라도 알 수 있을까요? 감사합니다.",안녕하십니까 BK21사업팀입니다. 중간평가 관련 일정은 추후 공지 및 공문 등을 확인하여 주시기 바랍니다. 감사합니다.
[종합정보시스템] 연구비사용실적관리 입력 관련 문의 - 안녕하세요. 종합정보시스템-연구비사용실적관리-연구비사용명세서 입력 중 교육연구단 운영비가 10%를 초과하지 않는데 해당 사유로 저장이 되지 않습니다. (이월+발생이자 기준으로도 초과하지 않습니다.) 저장이 되지 않는 다른 이유가 있을지 확인 부탁드립니다. 감사합니다.,안녕하십니까 BK21사업팀입니다. 정산관련하여 자세한 사항은 연구정산팀으로 문의하여 주시기 바랍니다. 감사합니다.
"[연구비 집행] 집행 관련 - 안녕하십니까, 연구비 집행 관련하여 문의드리고자합니다. 연구기간: 2025.03.01 ~ 2026.02.28 원인행위(결제일) 및 지출결의서 작성일 또한 2025.12월자로 하였으나, 출금처리가 완료되지 않은건이 확인되었습니다. bk지침상, 당해 연도에 발생한 건에 한하여 지출을 해야함을 알고있으나, 확인차 문의 드립니다. 1. 해당건을 '2025.03.01 ~ 2026.02.28' 과제로 현시점에 지출을 해도 될까요? 2. 지출이 불가하다면, 해당 금액을 '2026.03.01 ~ 2027.02.28' 과제로 이월 시킨 후 이월금으로 2025.12월자에 발생한건을 집행하는것이 가능할까요?","안녕하십니까 BK21사업팀입니다. 1,2. 모두 불가합니다. 당해년도 사업비는 당해년도 집행이 원칙입니다. 지출원인행위 및 그에 따른 거래 행위가 사업년도에 발생하고 사업기간 종료 후 10일 이내에 지출행위가 수반되었을 경우 인정가능합니다. 감사합니다."
"해외 세미나 참가 경비 문의 - 안녕하세요, 현재 교육연구팀장님께서 안식년으로 캐나다에 계십니다. 캐나다(토론토)에서 열리는 세미나에 해외 연구 네트워크 확산의 일환으로 캐나다에서 출발하여 참석하고자하는데 경비에 대한 사업비 집행 가능할까요? - 참여교수 자격은 유지중입니다. - 세미나 참석은 혼자 하시며 발표하시는건 아니고 단순참석입니다","안녕하십니까 BK21사업팀입니다. 해당 사항은 불가합니다(세미나 등 단순 행사 참석목적 경비는 지급 불가, 대학원생을 동반하지 않는 참여교수의 단독 국제화경비 집행 불가). 감사합니다."
"학회등록비, 연회비 관련 문의 - 안녕하세요~~항상 노고에 감사드립니다. 학회 등록비 관련하여 문의드립니다. 1. 연회비+학회등록비가 일회성 학회 등록비 보다 저렴한 경우 2. 초록제출을 위해 연회비 납부가 필수인 경우. 위의 경우 사유서 및 관련 증빙 구비하여 지원가능함을 Q&A 답변을 통해 확인을 하였습니다. 궁금한 점은 1번의 경우에도 초록제출이나 학회발표가 필수여야 하는지 궁금합니다. 비회원 학회등록비(22만원)가 연회비+학회등록비(18만원)보다 더 금액이 높은 상황인데 초록제출을 하는 학생들도 있고 단순참가학생들도 있다면 어떻게 해야하는지 궁금합니다.","안녕하십니까. BK21사업팀입니다. 1번의 경우, 논문게재 또는 학회 참석을 위해 학회등록이 필수 사항임을 증빙할 수 있어야 합니다. 감사합니다."
"부가질문 - 16378번의 1번 질문의 부가적인걸로
1. 공식 학회 일정은 5월 3일부터 8일까지이나, 항공편을 사전(약 3개월 전) 확인한 결과 해당 기간에 맞는 출·귀국 항공편 확보가 어려운 상황입니다.
이에 불가피하게 5월 1일 출국 및 5월 10일 귀국 일정으로 이동이 필요하며, 이는 학회 참석을 위한 최소 이동 일정에 해당합니다. 이때 해당 항공료 지원과 체제비 지급이 가능할까요?
5월 2일 출발 항공편은 확보가 어려운 상황이며, 5월 9일 또한 귀국 항공편이 편성되어 있지 않아 불가피하게 5월 10일 귀국 일정으로 진행할 수밖에 없는 상황입니다.
또한 5월 9일에는 교수님과의 학술 미팅 일정이 예정되어 있어 해당 일정을 고려할 때 5월 10일 귀국이 필요한 상황입니다.
이와 같이 항공편 미운항 등 불가피한 사유에 해당하는 경우에도 그래도 체제비 지원이 안되는 걸까요?","안녕하십니까

BK21사업팀입니다.

공식적인 일정의 당일 도착 및 출발이 불가한 경우, 사유서 및 증빙자료를 구비하여 공식일정 앞뒤로 1일씩 추가 지원 가능합니다.

감사합니다."
"참여대학원생 자격 문의 - 안녕하세요, 미래인재연구단입니다. 노고가 많으십니다! 참여대학원생 자격에 대해 문의드리고자 합니다. 타대학에서 박사과정/수료 이수 중에 해당 과정을 포기하고 사업단이 소속된 학부에 정규 입학 과정을 거쳐 신규로 입학하여 박사과정을 시작한 학생연구원이 있습니다. 전과가 아닌 박사로 신규입학을 한 사항이기 때문에, 당시 교내 전산 시스템 내에서는 학부의 신규입학생으로 조회됩니다. 학생이 참여연한 내 연구생 등록하게 되어 박사수료로 등록하려고 했는데, 아래 팝업과 함께 해당 학생이 등록되지 않습니다. (저희 학부기준에서 학생은 입학 후 박사 4년 재학연한 이내를 충족하여 참여가 가능한 대상입니다) 규정상 참여대학원생의 재학연한은 최초입학일을 기준으로 산정하며, 박사과정생의 경우 4년인데 이 경우 최초입학일 기산을 언제부터라고 봐야 하는지 질의드립니다. (1. 타대학에 처음 박사과정으로 입적한 시점 2. 본 사업단에 박사로 입학한 시점) 만약 학생의 참여가 가능할 경우, 종합정보시스템에 어떤 방법으로 등록이 가능한 지도 문의드립니다. 미리 답변에 감사드립니다.","안녕하세요. BK21사업팀입니다. 입학한 지 4년이 지나지 않은 박사과정생이며 참여대학원생 참여요건을 충족한다면 참여 가능합니다. 시스템 확인을 위해 교육연구단 정보(관리번호, 대학명, 학과명, 단장명 등)와 해당 학생의 이름, 연구자번호를 tan@nrf.re.kr. 로 보내주시기 바랍니다."
"[Q&A] 참여대학원생 F-4 비자 관련 문의 - 안녕하세요. 혁신인재양성사업 교육연구단입니다. 이번 학기 참여대학원생 중 F-4 비자가 있는 학생이 있어 QnA를 확인하고 외국인등록증 확인과 함께 4월 1일자로 4대보험가입내역확인서와 건강보험자격득실확인서를 추가적으로 요청했습니다. 다만, 건강보험자격득실확인서의 경우, F4 비자를 받은 사람이 실제 한국 체류기간이 6개월이 지나야 지역가입자로 자동전환이 된다고 합니다. 해당 학생이 26. 2. 23입국하여 아직 한국 체류기간이 6개월이 되지 않은 상황이라서, 건강보험자격득실확인서는 현재 발급받기 어려운 상황입니다. 해당 학생에게 요청하여 구비한 서류는 아래와 같습니다. 1. 외국인등록증(F-4) 2. 입국 확인 일자와 체류자격이 표시되어 있는 여권사본 3. 4대보험가입내역확인서(현재 모두 미가입 상태) 4. 사유서 건강보험자격득실확인서가 발급 가능해질때 추가적으로 서류를 받아서 보완해도 될지 여쭤봅니다. 이와 관련하여 추가적으로 해야할 사항이 있다면 말씀 부탁드리겠습니다.","안녕하십니까 BK21사업팀입니다. 건강보험자격득실확인서 발급이 가능할 때, 추가 구비하여 주시기 바랍니다. 감사합니다."
"단기연수 항공료 및 체제비 지원 - 안녕하세요 단기연수 관련 문의 사항이 있습니다. 1. 공식 학회 일정은 5월 3일부터 8일까지이나, 항공편을 사전(약 3개월 전) 확인한 결과 해당 기간에 맞는 출·귀국 항공편 확보가 어려운 상황입니다. 이에 불가피하게 5월 1일 출국 및 5월 10일 귀국 일정으로 이동이 필요하며, 이는 학회 참석을 위한 최소 이동 일정에 해당합니다. 이때 해당 항공료 지원과 체제비 지급이 가능할까요? 2. 일정상 미리 가있어야 하는 부분이 있어 출장기간은 6월 14-17일인데, 일정상 13일에 학회개최지로 가려합니다. 13일 일식비는 계산하지 않더라도 항공편은 지원가능한가요? 두가지는 다른 학회입니다.","안녕하십니까 BK21사업팀입니다. 1,2. 항공료는 왕복 지원 가능합니다. 체제비는 학회 공식적인 일정에 대하여 지원 가능합니다(공식적인 일정이 아닌 일자는 체제비 지원 불가). 감사합니다."
"[Q&A] 국외출장 일정 관련 집행 가능 여부 문의 - 안녕하세요. 국외출장 일정 관련 사업비 집행 가능 여부를 문의드립니다. 해당 참여대학원생이 학회 참석을 목적으로 국외출장을 계획 중인데, 공식 일정이 끝난 다음 날 연구논의 목적으로 참여교수님과 함께 해외 기관에 방문할 예정이라고 합니다. Q&A에 공식일정 이외 추가되는 비용은 자부담 해야하며, 해당 연구논의를 공식일정에 추가하고자 하는 경우 공식적인 기관명의 초청장이 있는 경우 인정이 가능하다고 답변되어 있습니다. 1. 공식적인 기관명의 초청장은 기관에서 보낸 초청메일도 가능한건가요? 2. 해당 연구논의 일정이 공식일정으로 인정되지 않는다면, 해당 일정에 대한 여비(일비, 식비, 숙박비)는 제외해야하는지요?","안녕하십니까. BK21사업팀입니다. 1. MOU체결 기관(또는 공식적인 초청장 구비)에서 실시되는 공식 교육과정 참여, 현지 연구 수행 시 지원이 가능합니다. 기관명의의 공식적인 메일이며, 참여 프로그램 및 일정, 초청목적 및 대상, 초청 기관 등이 확인 가능하여야 합니다. 2. 인정 불가한 경우, 해당 일정에 대한 여비 등은 지원 불가합니다. 감사합니다."
"종합정보관리시스템 현행화 문의 - 안녕하십니까. 종합정보관리시스템 현행화 진행과 관련하여 문의드립니다. 학생들에게 지급한 인센티브 내역도 시스템에 등록하고자 하는데, 교비대응자금으로 지급된 인센티브 또한 함께 등록해야 하는지 문의드립니다. 미리 답변에 감사드립니다.",안녕하십니까 BK21사업팀입니다. 교비대응 자금의 성격이 명확하지 않아 정확한 답변이 어렵습니다. BK21사업 사업비에서 지급된 인센티브 등록바랍니다. 감사합니다.
"BK21 사업관련 보고서 문의 - 안녕하세요, 27년 8월에 4단계 BK사업이 종료되는 것으로 알고 있습니다. 그에 따라 4단계 BK사업 종료 관련 보고서를 제출해야한다면 시기가 언제쯤인지, 5단계 BK사업 신청을 위한 신규사업신청보고서는 시기가 언제쯤인지 궁금합니다.","안녕하십니까

BK21사업팀입니다.

해당 사항은 아직 확정된 부분이 없어서 안내가 불가합니다.

향후 공지 및 공고문 등을 확인하여 주시기 바랍니다.

감사합니다."
"참여대학원생 중도 참여 문의 - 안녕하세요. 참여대학원생 중도 참여 문의하려고 합니다. 공보의로 4월9일자로 전역하여 중도 참여하고자(단순참여,지원x) 하는데 가능할까요? 참여일은 4월 22일자로 시작해서 2027년 2월 28일까지 참여예정입니다. 가능하다고 하면 서류는 마찬가지로 참여시작일 기준으로 4대보험가입내역서, 학적부, 재학증명서 및 병적확인서 제출하면 될까요?!",안녕하십니까 BK21사업팀입니다. 참여대학원생 요건을 충족한다면 가능합니다. 감사합니다.
"교육연구단 워크숍 상금 및 답례품 문의 - 안녕하세요. 교육연구단에서 개최하는 워크숍과 관련하여 16215번 문의에 이어서 문의드립니다. 답변해주신 내용에서 확인하고자 하는 부분이 있습니다. 1. 미참여 인력(대학원생 및 학부생) 참가 여부에 대한 증빙으로는 '방명록'을 구비하면 되는지요? 2. 상금 지급의 경우, 우수논문경진대회 참여자 중 미참여인력이 포함되어 있으면 지급 가능한 것으로 이해하고 있습니다. 우수논문경진대회 홍보 방식에는 학부 교수님들께 홍보하여 추천을 받아도 되는지요? 상금 증빙서류로는 행사 내부기안문, 영수증, 제출논문, 방명록, 행사 사진을 구비하면 될까요? 답례품(기프티콘 등) 증빙서류로는 행사 내부기안문, 영수증, 수령대장(기프티콘 전송내역), 방명록, 행사 사진을 구비하면 될까요?","안녕하십니까 BK21사업팀입니다.

1. 사전 내부 문서에 참석 대상을 명시하여 주시고, 방명록 등을 구비하여 주시기 바랍니다.

2. 사전 내부 문서에 논문 평가 방법 및 기준 등을 명시하여 주시기 바랍니다.

상금 지급 시 증빙서류는 기재하여주신 서류와 함께 계좌이체 내역(수상자 명의 계좌에 직접 이체), 수상자 통장사본, 수령대장(서명 포함) 등을 구비하여 주시고

답례품 지급 시 증빙서류는 기재하여주신 서류와 함께 수령대장(서명 포함), 참석자 명단 등을 구비하여 주시기 바랍니다.

감사합니다."
"30일 초과 해외체류(장기연수)규정 문의 - 안녕하세요. 지원대학원생이 모든 연구 관련 공식일정을 포함하여 30일을 초과한 해외체류 시 해당 기간에 대한 장학금이 지급 불가능한 것으로 알고 있습니다. 해당 기준이 1건의 출국에만 적용되는 것인지 확인하고 싶습니다. 예를 들어 5월에 25일간 출국 후 돌아와서, 6월에 다른 일정을 위해 7일간 출국한다고 가정하면 해당 경우는 차감하지 않아도 될까요?(모두 연구를 위한 출국의 경우) 감사합니다.",안녕하십니까 BK21사업팀입니다. 출국일과 입국일을 기준으로 연속 30일 이상 해외 체류 시 장학금 지급 불가합니다. 감사합니다.
"박사후연구원 교육비 지원 - 안녕하세요 연구단에 채용된 박사후연구원의 교육비 지원에 관한 문의 입니다. 박사후연구원의 온라인 교육비 지원이 가능할까요? 약 2개월가량 온라인 수업을 받는다고 하는데, 연구활동과 관련이 있을경우 지원이 가능한지요? 가능하다면 연구활동 및 산학협력활동 지원비 비목으로 사용이 가능할까요? 바쁜 업무중 미리 답변 감사합니다.",안녕하십니까 BK21사업팀입니다. 교육연구단(팀)의 연구 및 교육 목적과 연관이 있으며 1회성 교육에 해당한다면 연구활동 및 산학협력활동 지원비에서 지원 가능합니다. 감사합니다.
해외석학 운임비 지원 관련 문의 - 안녕하세요? 해외석학 운임비 지원과 관련하여 문의드립니다. 소속은 미국 소재 대학이지만 저희 대학에 오시기 전에 일본에서 강연이 있으셔서 일본>한국 항공권을 지원해드리고자 하는데 문제 없을지요? 감사합니다.,"안녕하십니까 BK21사업팀입니다. 해외 전문가의 소속기관 소재지를 기준으로 왕복 항공권 지원이 원칙입니다. 타국에서 입국하는경우, 사유서를 구비하여 주시고 비교 견적서 등을 통해 금액을 확인하여 주시기 바랍니다. 타국에서 입국하는 항공권이, 소속기관 소재지 기준 금액을 초과하는 경우 차액은 지원 불가합니다. 감사합니다."
"[종합정보관리시스템 참여신진연구인력 관리 관련] 참여신진연구인력 관리 관련 - 안녕하세요. 종합정보관리시스템-참여신진연구인력 관리에서 신진연구인력을 등록하려고 하는데, 참여기간이 2025년9월16일부터 참여한 박사후연구원이 있습니다. 시스템 상에서 참여기간을 2025년9월16일부터 2026년 2월 28일까지 입력하면 참여개월수가 6개월이 아닌 5개월로 셋팅되어 인건비 지급내역을 5개월치만 입력할 수 있습니다. 첫 달의 참여기간이 15일 미만이어서 1달로 카운트가 되지 않는 것 같은데, 이런경우는 인건비 지급내역은 어떻게 입력해야 하나요? 9월과 10월 인건비를 합쳐서 입력하면 될까요?",안녕하세요. BK21사업팀입니다. 해당 신진연구인력 연구자번호를 tan@nrf.re.kr 로 보내주시기 바랍니다.
"BK21 5단계 준비위원회 위원장 관련 참여교수 소속 여부 - BK21 담당자님께, 안녕하세요. 차기 BK21 5단계 사업 진입을 준비하기 위해 대학 내부에 '5단계 준비위원회(운영위원회)'를 구성하고자 합니다. 위원장 보직과 관련하여 아래 사항을 문의드립니다. 준비위원장의 4단계 참여 필수 여부: 5단계 사업 기획을 총괄할 준비위원장 교수님이 현재 4단계 사업에 '참여교수'로 소속되어 있지 않아도, 준비위원회 위원장직을 수행하며 사업 기획을 주도하는 데 행정적인 제한이 있습니까? 5단계 사업 시 참여 필수 여부: 만약 4단계 참여교수가 아니어도 무방하다면, 향후 5단계 사업이 시작되는 시점에는 반드시 참여교수로 등록되어야만 위원장(또는 기획 책임) 역할을 유지할 수 있는 것인지 궁금합니다. 전 과정 미참여 시 결격 사유: 준비위원장이 4단계 및 5단계 사업 전체 기간 동안 '참여교수'로 등록되지 않은 상태에서, 오직 사업 기획 및 운영위원회 위원장 역할만 수행하는 것이 가능한지 확인 부탁드립니다.","안녕하세요. BK21사업팀입니다. 자체적으로 만드신 위원회인데, 저희가 정해드릴 수 있는 건 없습니다. 자체운영규정에 명시하여 운영해 주시기 바랍니다. 아울러 5단계는 아직 기획 중이라 현 상황에선 답변이 불가합니다."
교육연구단 운영비 집행 문의 - 교육연구단 운영비 집행 문의드립니다. 신진연구인력 채용을 위한 채용사이트 게시비용을 연구단 운영비로 집행 가능한지 문의드립니다.,(수정 답변) 안녕하십니까? BK21사업팀입니다. 교육연구단 운영비 - 일반수용비에서 집행하시기 바랍니다. 감사합니다.
"산재보험 가입 대학원생의 참여대학원생 자격 여부 문의 - 안녕하세요. 참여대학원생의 산재보험 가입으로 인한 참여대학원생 자격 유지와 관련하여 문의드립니다. 해당 학생은 대학 내 지역 RISE 사업단과 근로계약을 체결하여 단기근로자로 근무할 예정입니다. 근로계약으로 학생이 담당할 업무는 사업단에서 기획, 운영하는 대중강연의 진행을 위한 사전 준비와 간단한 행정 업무입니다. 위 대중강연은 학생이 참여 중인 교육연구단의 사업 목적에 부합합니다. 학생이 대학 내 지역 RISE 사업단과의 근로계약을 체결할 시, 산재보험을 필수, 의무적으로 가입해야 한다고 합니다. 4대보험 가입내역서에는 산재보험 란에 '사업장 가입자(대학 지역 RISE 사업단)'으로 뜨는 것으로 확인됩니다. 위 학생이 근로계약을 체결하여 산재보험에 자동 가입될 경우에 참여대학원생의 자격을 유지할 수 있는지 알려주시면 감사하겠습니다.","안녕하십니까 BK21사업팀입니다. 근로계약을 체결하고 4대 보험에 가입하는 경우, 참여대학원생 요건을 충족하지 않으므로 참여종료 처리하시기 바랍니다. (4단계 BK21사업 관리운영지침 제11조(참여대학원생) 참고) 감사합니다."
"교육연구단장 변경 관련 - 안녕하세요. 교육연구단장 변경과 관련하여 문의드립니다. BK21 사업관리 운영지침에 따르면, 교육연구단장은 국가 주도 대형 연구개발사업의 책임자 또는 연간 사업비 20억 원 이상인 국가연구개발과제의 책임자를 겸할 수 없는 것으로 명시되어 있습니다. 이와 관련하여, 현재 저희 교육연구단장님께서 연간 20억 원 이상의 과제를 금년 7월부터 수행하게 될 가능성이 있는 상황입니다. 이에 따라 운영지침에 근거하여 교육연구단장을 변경해야 하는 것으로 이해하고 있으나, 일부 타 사업의 경우 전체 사업기간이 얼마 남지 않은 상황에서는 기존 책임자가 계속 수행하는 사례도 있는 것으로 알고 있습니다. 저희 BK21 사업의 경우 종료일이 2027년 8월 31일로 약 1년여의 기간이 남아있는 상황인데, 이와 같은 경우에도 반드시 교육연구단장을 변경해야 하는지, 아니면 별도 변경 없이 유지가 가능한지 문의드립니다. 확인 후 회신 주시면 감사하겠습니다. 감사합니다.","안녕하십니까 BK21사업팀입니다. 교육연구단(팀)장이 국가 주도 대형 연구개발사업의 책임자 또는 연간 사업비 20억 원 이상의 연구개발과제 책임자를 수행하게 되는 경우, 단장 변경을 진행하시기 바랍니다. 감사합니다."
"장학금 중복수혜 가능 문의 - 안녕하십니까. 기초과학분야 미래인재양성사업 교육연구단입니다. 대학원생 BK 장학금 중복수혜 관련 문의드립니다. ""2026년 대학원 대통력과학장학금""(첨부파일) 학생에 선정되어 장학금을 수혜할 경우, BK 장학금과 중복 수혜 가능한지 문의드립니다. 미리 감사합니다.","안녕하세요. BK21사업팀입니다. BK사업에선 중복 수혜가 가능하나, 해당 사업에서 중복 수혜 가능 여부를 확인하시기 바랍니다."
